description,name,protein,fat,carbohydrate,calories
"['bottled', 'chocolate']","Milk shake, bottled, chocolate",3.7,6.66,20.4,150
"['bottled', 'flavorsotherthanchocolate']","Milk shake, bottled, flavors other than chocolate",3.37,6.52,19.6,148
[],Licuado or Batido,2.33,1.45,13.1,75.0
['NFS'],"Fruit smoothie, NFS",2.35,1.1,11.7,65.0
['withwholefruitanddairy'],"Fruit smoothie, with whole fruit and dairy",2.35,1.1,11.7,65.0
"['withwholefruitanddairy', 'addedprotein']","Fruit smoothie, with whole fruit and dairy, added protein",7.38,1.25,9.7,78.0
['withdairy'],"Fruit smoothie juice drink, with dairy",0.86,0.14,15.0,65.0
[],Chocolate milk drink,0.64,0.4,10.7,49.0
['NFS'],"Infant formula, NFS",1.38,3.56,7.12,66.0
"['Similac', 'NFS']","Infant formula, Similac, NFS",1.37,3.6,6.9,65.0
"['SimilacAlimentum', 'ready-to-feed']","Infant formula, Similac Alimentum, ready-to-feed",1.8,3.63,6.77,67.0
"['SimilacAlimentum', 'powder', 'madewithwater']","Infant formula, Similac Alimentum, powder, made with water",1.8,3.63,6.77,67.0
"['SimilacAdvance', 'ready-to-feed']","Infant formula, Similac Advance, ready-to-feed",1.37,3.62,6.87,66.0
"['SimilacAdvance', 'powder', 'madewithtapwater']","Infant formula, Similac Advance, powder, made with tap water",1.37,3.62,6.87,66.0
"['SimilacAdvance', 'powder', 'madewithbottledwater']","Infant formula, Similac Advance, powder, made with bottled water",1.37,3.62,6.87,66.0
"['SimilacAdvance', 'powder', 'madewithbabywater']","Infant formula, Similac Advance, powder, made with baby water",1.37,3.62,6.87,66.0
"['SimilacSensitive', 'ready-to-feed']","Infant formula, Similac Sensitive, ready-to-feed",1.4,3.53,6.99,65.0
"['SimilacSensitive', 'powder', 'madewithtapwater']","Infant formula, Similac Sensitive, powder, made with tap water",1.4,3.53,6.99,65.0
"['SimilacSensitive', 'powder', 'madewithbottledwater']","Infant formula, Similac Sensitive, powder, made with bottled water",1.4,3.53,6.99,65.0
"['SimilacSensitive', 'powder', 'madewithbabywater']","Infant formula, Similac Sensitive, powder, made with baby water",1.4,3.53,6.99,65.0
"['SimilacforSpit-Up', 'ready-to-feed']","Infant formula, Similac for Spit-Up, ready-to-feed",1.38,3.48,6.9,65.0
"['SimilacforSpit-Up', 'powder', 'madewithwater']","Infant formula, Similac for Spit-Up, powder, made with water",1.38,3.48,6.9,65.0
['SimilacGoandGrow'],"Toddler formula, Similac Go and Grow",1.73,3.11,5.87,58.0
"['Enfamil', 'NFS']","Infant formula, Enfamil, NFS",1.43,3.49,7.34,66.0
"['EnfamilPremiumNewborn', 'ready-to-feed']","Infant formula, Enfamil Premium Newborn, ready-to-feed",1.38,3.48,7.39,66.0
"['EnfamilPremiumNewborn', 'powder', 'madewithwater']","Infant formula, Enfamil Premium Newborn, powder, made with water",1.38,3.48,7.39,66.0
"['EnfamilInfant', 'ready-to-feed']","Infant formula, Enfamil Infant, ready-to-feed",1.4,3.49,7.38,66.0
"['EnfamilInfant', 'powder', 'madewithtapwater']","Infant formula, Enfamil Infant, powder, made with tap water",1.4,3.49,7.38,66.0
"['EnfamilInfant', 'powder', 'madewithbottledwater']","Infant formula, Enfamil Infant, powder, made with bottled water",1.4,3.49,7.38,66.0
"['EnfamilInfant', 'powder', 'madewithbabywater']","Infant formula, Enfamil Infant, powder, made with baby water",1.4,3.49,7.38,66.0
"['EnfamilAR', 'ready-to-feed']","Infant formula, Enfamil AR, ready-to-feed",1.6,3.24,7.43,65.0
"['EnfamilAR', 'powder', 'madewithwater']","Infant formula, Enfamil AR, powder, made with water",1.6,3.24,7.43,65.0
"['EnfamilGentlease', 'ready-to-feed']","Infant formula, Enfamil Gentlease, ready-to-feed",1.53,3.49,7.25,67.0
"['EnfamilGentlease', 'powder', 'madewithtapwater']","Infant formula, Enfamil Gentlease, powder, made with tap water",1.53,3.49,7.25,67.0
