description,name,protein,fat,carbohydrate,calories
['water'],"Crackers, water",7.14,7.14,72.8,384
['wonton'],"Crackers, wonton",10.3,31.7,51.9,521
['wovenwheat'],"Crackers, woven wheat",8.94,15.3,70.1,441
"['wovenwheat', 'plain']","Crackers, woven wheat, plain (Triscuit)",8.94,15.3,70.1,441
"['wovenwheat', 'flavored']","Crackers, woven wheat, flavored (Triscuit)",8.94,15.3,70.1,441
"['wovenwheat', 'reducedfat']","Crackers, woven wheat, reduced fat",11.3,7.59,75.5,416
['wheat'],"Crackers, wheat",8.94,15.3,70.1,441
"['wheat', 'plain']","Crackers, wheat, plain (Wheat Thins)",8.94,15.3,70.1,441
"['wheat', 'flavored']","Crackers, wheat, flavored (Wheat Thins)",8.94,15.3,70.1,441
"['wheat', 'reducedfat']","Crackers, wheat, reduced fat",9.34,13.4,71.5,444
"['glutenfree', 'plain']","Crackers, gluten free, plain",11.2,15.8,66.3,453
"['glutenfree', 'flavored']","Crackers, gluten free, flavored",11.2,15.8,66.3,453
[],Baby Toddler crackers,12.5,0.87,83.2,391
['fruit'],"Baby Toddler puffs, fruit",6.19,2.3,85.8,344
['vegetable'],"Baby Toddler puffs, vegetable",6.19,2.3,85.8,344
[],Baby Toddler crunchies,3.2,19.2,69.1,462
[],Baby Toddler wheels,10.0,6.41,78.9,413
[],Corn nuts,8.5,15.6,71.9,446
['plain'],"Corn chips, plain",6.12,33.1,56.8,535
['flavored'],"Corn chips, flavored",6.11,34.0,56.7,543
['plain'],"Corn chips, plain (Fritos)",6.17,33.4,57.3,539
['flavored'],"Corn chips, flavored (Fritos)",6.14,33.2,57.0,536
[],Cheese flavored corn snacks,5.85,36.0,53.5,560
['reducedfat'],"Cheese flavored corn snacks, reduced fat",8.5,12.1,72.4,432
['plain'],"Tortilla chips, plain",7.1,20.7,67.8,472
[],Cheese flavored corn snacks (Cheetos),5.85,36.0,53.5,560
['flavored'],"Tortilla chips, flavored",7.36,27.4,60.8,519
['reducedsodium'],"Corn chips, reduced sodium",6.84,33.6,56.8,549
['nachocheeseflavor'],"Tortilla chips, nacho cheese flavor (Doritos)",7.36,27.4,60.8,519
['coolranchflavor'],"Tortilla chips, cool ranch flavor (Doritos)",7.06,20.6,67.4,470
['otherflavors'],"Tortilla chips, other flavors (Doritos)",7.36,27.4,60.8,519
"['reducedfat', 'plain']","Tortilla chips, reduced fat, plain",10.9,5.63,79.1,411
"['reducedfat', 'flavored']","Tortilla chips, reduced fat, flavored",10.9,5.63,79.1,411
"['lowfat', 'unsalted']","Tortilla chips, low fat, unsalted",11.0,5.7,80.1,416
['reducedsodium'],"Tortilla chips, reduced sodium",9.35,19.8,68.1,489
[],Snack mix,7.0,25.6,62.8,502
"['restructured', 'multigrain']","Potato chips, restructured, multigrain",5.3,24.7,65.3,505
[],Pita chips,11.8,15.2,68.3,457
['NFS'],"Popcorn, NFS",8.69,31.1,56.0,538
"['movietheater', 'withaddedbutter']","Popcorn, movie theater, with added butter",4.96,58.8,31.6,656
"['movietheater', 'nobutteradded']","Popcorn, movie theater, no butter added",6.18,48.7,39.9,603
"['air-popped', 'nobutteradded']","Popcorn, air-popped, no butter added",12.9,4.52,77.5,385
"['air-popped', 'withaddedbutter']","Popcorn, air-popped, with added butter",11.0,15.3,65.8,430
"['poppedinoil', 'nobutteradded']","Popcorn, popped in oil, no butter added",8.96,28.0,57.9,498
"['poppedinoil', 'withaddedbutter']","Popcorn, popped in oil, with added butter",7.69,35.2,49.1,525
"['microwave', 'NFS']","Popcorn, microwave, NFS",8.69,31.1,56.0,538
"['microwave', 'plain']","Popcorn, microwave, plain",8.69,31.1,56.0,538
"['microwave', 'plain', 'light']","Popcorn, microwave, plain, light",12.5,9.43,71.5,421
"['microwave', 'lowsodium']","Popcorn, microwave, low sodium",8.93,27.9,57.6,496
"['microwave', 'butterflavored']","Popcorn, microwave, butter flavored",8.69,31.1,56.0,538
"['microwave', 'flavored', 'light']","Popcorn, microwave, flavored, light",12.5,9.43,71.5,421
"['microwave', 'cheeseflavored']","Popcorn, microwave, cheese flavored",8.65,31.0,55.8,536
"['microwave', 'kettle']","Popcorn, microwave, kettle",9.88,27.1,58.3,516
"['ready-to-eat', 'NFS']","Popcorn, ready-to-eat, NFS",8.88,32.5,53.4,530
"['ready-to-eat', 'plain']","Popcorn, ready-to-eat, plain",10.2,23.3,61.2,482
"['ready-to-eat', 'plain', 'light']","Popcorn, ready-to-eat, plain, light",11.3,14.9,68.1,437
"['ready-to-eat', 'lowsodium']","Popcorn, ready-to-eat, low sodium",10.3,23.4,61.7,486
"['ready-to-eat', 'butterflavored']","Popcorn, ready-to-eat, butter flavored",8.88,32.5,53.4,530
"['ready-to-eat', 'cheeseflavored']","Popcorn, ready-to-eat, cheese flavored",9.3,33.2,51.6,526
"['ready-to-eat', 'flavored', 'light']","Popcorn, ready-to-eat, flavored, light",11.3,14.8,67.8,435
"['ready-to-eat', 'kettle']","Popcorn, ready-to-eat, kettle",5.48,30.2,61.0,531
['caramelcoated'],"Popcorn, caramel coated",3.77,12.7,78.5,428
"['caramelcoated', 'withnuts']","Popcorn, caramel coated, with nuts",6.35,7.74,80.1,397
['chocolatecoated'],"Popcorn, chocolate coated",5.34,12.8,76.4,407
['plain'],"Popcorn chips, plain",10.2,11.2,74.2,438
['otherflavors'],"Popcorn chips, other flavors",10.2,11.2,74.2,438
['sweetflavors'],"Popcorn chips, sweet flavors",8.75,13.5,74.6,455
[],Onion flavored rings,7.7,22.6,65.1,499
[],Shrimp chips,7.14,17.9,59.1,426
['NFS'],"Pretzels, NFS",10.0,2.93,80.4,384
"['hard', 'NFS']","Pretzels, hard, NFS",10.0,2.93,80.4,384
"['hard', 'plain', 'salted']","Pretzels, hard, plain, salted",10.0,2.93,80.4,384
"['hard', 'plain', 'lightlysalted']","Pretzels, hard, plain, lightly salted",9.57,3.22,79.8,382
"['hard', 'plain', 'unsalted']","Pretzels, hard, plain, unsalted",9.1,3.5,79.2,381
"['hard', 'flavored']","Pretzels, hard, flavored",9.92,3.88,79.4,388
"['hard', 'multigrain']","Pretzels, hard, multigrain",10.2,2.96,80.1,381
"['hard', 'plain', 'glutenfree']","Pretzels, hard, plain, gluten free",3.52,6.67,78.6,389
"['hard', 'flavored', 'glutenfree']","Pretzels, hard, flavored, gluten free",3.48,7.58,77.7,393
"['hard', 'plain']","Pretzel chips, hard, plain",9.8,2.86,78.4,375
"['hard', 'flavored']","Pretzel chips, hard, flavored",9.68,2.82,77.5,370
"['hard', 'glutenfree']","Pretzel chips, hard, gluten free",3.43,6.51,76.7,380
"['hard', 'coated', 'NFS']","Pretzels, hard, coated, NFS",7.05,17.6,70.1,467
"['hard', 'chocolatecoated']","Pretzels, hard, chocolate coated",7.05,17.6,70.1,467
"['hard', 'whitechocolatecoated']","Pretzels, hard, white chocolate coated",5.94,14.2,74.7,445
"['hard', 'yogurtcoated']","Pretzels, hard, yogurt coated",5.94,12.2,76.6,438
"['hard', 'coated', 'glutenfree']","Pretzels, hard, coated, gluten free",3.76,15.6,75.1,451
"['hard', 'filled', 'NFS']","Pretzels, hard, filled, NFS",9.85,16.9,66.5,463
"['hard', 'cheesefilled']","Pretzels, hard, cheese filled",9.85,16.9,66.5,463
"['hard', 'peanutbutterfilled']","Pretzels, hard, peanut butter filled",14.1,18.9,60.8,467
"['soft', 'NFS']","Pretzels, soft, NFS",8.01,4.0,69.4,345
"['soft', 'ready-to-eat', 'NFS']","Pretzels, soft, ready-to-eat, NFS",8.01,4.0,69.4,345
"['soft', 'ready-to-eat', 'salted', 'buttered']","Pretzels, soft, ready-to-eat, salted, buttered",8.01,4.0,69.4,345
"['soft', 'ready-to-eat', 'unsalted', 'buttered']","Pretzels, soft, ready-to-eat, unsalted, buttered",8.12,4.05,70.3,350
"['soft', 'ready-to-eat', 'salted', 'nobutter']","Pretzels, soft, ready-to-eat, salted, no butter",8.09,3.06,70.1,340
"['soft', 'ready-to-eat', 'unsalted', 'nobutter']","Pretzels, soft, ready-to-eat, unsalted, no butter",8.2,3.1,71.0,345
"['soft', 'ready-to-eat', 'cinnamonsugarcoated']","Pretzels, soft, ready-to-eat, cinnamon sugar coated",6.22,6.14,74.0,374
"['soft', 'ready-to-eat', 'coatedorflavored']","Pretzels, soft, ready-to-eat, coated or flavored",7.89,7.75,66.0,365
"['soft', 'ready-to-eat', 'toppedwithmeat']","Pretzels, soft, ready-to-eat, topped with meat",11.5,9.93,53.4,349
"['soft', 'ready-to-eat', 'toppedwithcheese']","Pretzels, soft, ready-to-eat, topped with cheese",10.2,5.36,62.4,339
"['soft', 'fromfrozen', 'NFS']","Pretzels, soft, from frozen, NFS",8.01,4.0,69.4,345
"['soft', 'fromfrozen', 'salted']","Pretzels, soft, from frozen, salted",8.09,3.06,70.1,340
"['soft', 'fromfrozen', 'unsalted']","Pretzels, soft, from frozen, unsalted",8.2,3.1,71.0,345
"['soft', 'fromfrozen', 'cinnamonsugarcoated']","Pretzels, soft, from frozen, cinnamon sugar coated",6.22,6.14,74.0,374
"['soft', 'fromfrozen', 'coatedorflavored']","Pretzels, soft, from frozen, coated or flavored",7.89,7.75,66.0,365
"['soft', 'fromfrozen', 'toppedwithmeat']","Pretzels, soft, from frozen, topped with meat",11.5,9.93,53.4,349
"['soft', 'fromfrozen', 'toppedwithcheese']","Pretzels, soft, from frozen, topped with cheese",10.2,5.36,62.4,339
"['soft', 'filledwithcheese']","Pretzels, soft, filled with cheese",10.2,5.36,62.4,339
"['soft', 'fromschoollunch']","Pretzels, soft, from school lunch",8.55,3.16,70.7,339
"['soft', 'multigrain']","Pretzels, soft, multigrain",8.49,3.13,70.3,337
"['soft', 'glutenfree']","Pretzels, soft, gluten free",4.03,5.74,57.3,297
"['soft', 'glutenfree', 'cinnamonsugarcoated']","Pretzels, soft, gluten free, cinnamon sugar coated",3.1,8.14,63.8,339
"['soft', 'glutenfree', 'coatedorflavored']","Pretzels, soft, gluten free, coated or flavored",4.1,10.4,54.2,326
[],Multigrain chips (Sun Chips),7.95,21.1,67.3,491
['plain'],"Snack mix, plain (Chex Mix)",8.83,10.0,75.7,428
[],Bagel chips,12.3,15.1,66.4,451
[],Cracker chips,7.95,21.1,67.3,491
['NFS'],"Pancakes, NFS",7.41,12.1,35.3,282
"['plain', 'frozen']","Pancakes, plain, frozen",5.23,6.83,37.8,233
"['fruit', 'frozen']","Pancakes, fruit, frozen",4.99,6.52,36.5,224
"['chocolate', 'frozen']","Pancakes, chocolate, frozen",5.35,7.97,38.8,248
"['wholegrain', 'frozen']","Pancakes, whole grain, frozen",5.54,6.75,38.6,232
"['plain', 'fastfood/restaurant']","Pancakes, plain, fast food / restaurant",7.16,15.5,34.1,307
"['fruit', 'fastfood/restaurant']","Pancakes, fruit, fast food / restaurant",5.71,12.3,29.8,253
"['chocolate', 'fastfood/restaurant']","Pancakes, chocolate, fast food / restaurant",7.46,18.7,40.0,360
"['wholegrain', 'fastfood/restaurant']","Pancakes, whole grain, fast food / restaurant",7.59,15.8,31.8,299
['school'],"Pancakes, school",6.26,6.57,40.4,231
['plain'],"Pancakes, plain",7.41,12.1,35.3,282
"['plain', 'reducedfat']","Pancakes, plain, reduced fat",7.57,9.74,36.1,264
['fruit'],"Pancakes, fruit",5.86,9.54,30.6,232
['pumpkin'],"Pancakes, pumpkin",6.37,10.1,31.0,241
['chocolate'],"Pancakes, chocolate",7.68,15.9,41.2,341
['wholegrain'],"Pancakes, whole grain",7.86,12.3,32.9,273
"['wholegrain', 'reducedfat']","Pancakes, whole grain, reduced fat",8.04,9.89,33.6,256
['glutenfree'],"Pancakes, gluten free",3.31,4.55,40.3,215
['NFS'],"Waffle, NFS",7.42,9.49,48.4,309
"['plain', 'frozen']","Waffle, plain, frozen",7.42,9.49,48.4,309
"['plain', 'reducedfat']","Waffle, plain, reduced fat",9.72,7.35,46.8,292
"['fruit', 'frozen']","Waffle, fruit, frozen",7.07,9.05,46.6,296
"['chocolate', 'frozen']","Waffle, chocolate, frozen",7.43,10.5,48.9,320
"['wholegrain', 'frozen']","Waffle, whole grain, frozen",6.78,8.39,46.7,289
"['wholegrain', 'reducedfat']","Waffle, whole grain, reduced fat",7.14,3.57,49.2,257
"['wholegrain', 'fruit', 'frozen']","Waffle, whole grain, fruit, frozen",6.48,8.02,45.1,278
"['plain', 'fastfood/restaurant']","Waffle, plain, fast food / restaurant",8.16,26.4,38.9,428
"['chocolate', 'fastfood/restaurant']","Waffle, chocolate, fast food / restaurant",8.59,28.9,46.1,480
"['fruit', 'fastfood/restaurant']","Waffle, fruit, fast food / restaurant",6.6,21.1,34.5,354
"['wholegrain', 'fastfood/restaurant']","Waffle, whole grain, fast food / restaurant",8.64,26.9,36.2,421
['school'],"Waffle, school",7.14,3.57,49.2,257
['plain'],"Waffle, plain",8.7,18.8,41.5,373
['fruit'],"Waffle, fruit",6.94,14.9,36.2,307
['chocolate'],"Waffle, chocolate",9.07,22.7,48.6,437
['cinnamon'],"Waffle, cinnamon",8.7,18.8,41.7,373
['wholegrain'],"Waffle, whole grain",9.23,19.2,38.6,364
['glutenfree'],"Waffle, gluten free",2.72,8.84,43.0,263
['NFS'],"French toast, NFS",10.4,11.4,32.3,273
['frozen'],"French toast, frozen",7.24,3.82,29.9,183
['fastfood/restaurant'],"French toast, fast food / restaurant",9.84,14.3,35.7,310
['school'],"French toast, school",9.15,3.8,22.6,162
['plain'],"French toast, plain",10.4,11.4,32.3,273
['wholegrain'],"French toast, whole grain",11.3,11.6,30.4,271
['glutenfree'],"French toast, gluten free",7.79,12.2,30.6,264
[],French toast sticks,7.52,9.18,40.6,278
['fastfood/restaurant'],"French toast sticks, fast food / restaurant",7.06,20.9,48.5,400
['school'],"French toast sticks, school",9.15,3.8,22.6,162
['NFS'],"Crepe, NFS",8.85,11.3,22.0,224
['plain'],"Crepe, plain",8.85,11.3,22.0,224
[],Chinese pancake,4.05,0.38,45.4,207
['nomeat'],"Dumpling, no meat",3.45,3.37,20.5,125
[],Cake made with glutinous rice,2.49,6.51,53.6,279
[],Idli,6.36,0.35,25.0,128
['plain'],"Dosa, plain",5.7,4.05,37.0,210
[],Cake made with glutinous rice and dried beans,8.26,0.5,37.3,189
[],Funnel cake with sugar,7.87,16.6,43.5,353
[],Funnel cake with sugar and fruit,5.84,15.7,55.2,380
"['vegetable', 'cooked']","Pasta, vegetable, cooked",4.52,0.11,26.6,128
['cooked'],"Noodles, cooked",4.51,2.06,25.0,137
"['wholegrain', 'cooked']","Noodles, whole grain, cooked",5.96,1.7,29.9,148
"['vegetable', 'cooked']","Noodles, vegetable, cooked",5.01,1.56,24.1,131
['chowmein'],"Noodles, chow mein",10.3,31.7,51.9,521
"['madefrommungbeans', 'cooked']","Long rice noodles, made from mung beans, cooked",0.04,0.01,20.7,84.0
['cooked'],"Rice noodles, cooked",1.78,0.2,23.9,107
['cooked'],"Pasta, cooked",5.76,0.92,30.7,157
"['wholegrain', 'cooked']","Pasta, whole grain, cooked",5.95,1.7,29.9,148
['glutenfree'],"Pasta, gluten free",3.2,1.0,38.0,179
"['cooked', 'NFS']","Cereal, cooked, NFS",2.21,1.09,11.4,64.0
[],Barley,2.2,2.74,27.2,139
[],Buckwheat groats,3.22,3.34,19.0,112
['NFS'],"Grits, NFS",1.19,1.84,12.2,71.0
"['regularorquick', 'madewithwater', 'NSastofat']","Grits, regular or quick, made with water, NS as to fat",1.19,1.84,12.2,71.0
"['regularorquick', 'madewithwater', 'noaddedfat']","Grits, regular or quick, made with water, no added fat",1.2,0.28,12.4,58.0
"['regularorquick', 'madewithwater', 'fatadded']","Grits, regular or quick, made with water, fat added",1.19,1.84,12.2,71.0
"['withcheese', 'NSastofat']","Grits, with cheese, NS as to fat",3.56,5.28,11.4,108
"['withcheese', 'noaddedfat']","Grits, with cheese, no added fat",3.6,3.92,11.5,97.0
"['withcheese', 'fatadded']","Grits, with cheese, fat added",3.56,5.28,11.4,108
"['instant', 'madewithwater', 'noaddedfat']","Grits, instant, made with water, no added fat",1.38,0.4,14.8,65.0
"['instant', 'madewithwater', 'fatadded']","Grits, instant, made with water, fat added",1.36,2.85,14.4,85.0
"['instant', 'madewithwater', 'NSastofat']","Grits, instant, made with water, NS as to fat",1.36,2.85,14.4,85.0
['NSastofat'],"Cornmeal mush, NS as to fat",1.11,1.84,12.2,71.0
['noaddedfat'],"Cornmeal mush, no added fat",1.12,0.28,12.5,58.0
['fatadded'],"Cornmeal mush, fat added",1.11,1.84,12.2,71.0
['cooked'],"Masa harina, cooked",2.26,0.99,20.5,97.0
[],Millet,3.5,1.0,23.6,118
"['fastfood', 'plain']","Oatmeal, fast food, plain",2.6,2.54,11.9,80.0
"['fastfood', 'flavored']","Oatmeal, fast food, flavored",2.4,2.33,20.3,110
['NFS'],"Oatmeal, NFS",2.18,2.63,11.2,76.0
"['regularorquick', 'madewithwater', 'noaddedfat']","Oatmeal, regular or quick, made with water, no added fat",2.21,1.09,11.4,64.0
"['regularorquick', 'madewithwater', 'fatadded']","Oatmeal, regular or quick, made with water, fat added",2.18,2.63,11.2,76.0
"['regularorquick', 'madewithmilk', 'noaddedfat']","Oatmeal, regular or quick, made with milk, no added fat",5.56,3.25,16.2,116
"['regularorquick', 'madewithmilk', 'fatadded']","Oatmeal, regular or quick, made with milk, fat added",5.48,4.75,16.0,128
"['regularorquick', 'madewithnon-dairymilk', 'noaddedfat']","Oatmeal, regular or quick, made with non-dairy milk, no added fat",3.35,2.44,14.5,93.0
"['regularorquick', 'madewithnon-dairymilk', 'fatadded']","Oatmeal, regular or quick, made with non-dairy milk, fat added",3.31,3.95,14.3,105
"['instant', 'plain', 'madewithwater', 'noaddedfat']","Oatmeal, instant, plain, made with water, no added fat",2.26,1.3,13.2,68.0
"['instant', 'plain', 'madewithwater', 'fatadded']","Oatmeal, instant, plain, made with water, fat added",2.2,3.72,12.7,88.0
"['instant', 'plain', 'madewithmilk', 'noaddedfat']","Oatmeal, instant, plain, made with milk, no added fat",4.96,3.04,17.1,111
"['instant', 'plain', 'madewithmilk', 'fatadded']","Oatmeal, instant, plain, made with milk, fat added",4.81,5.4,16.5,129
"['instant', 'plain', 'madewithnon-dairymilk', 'noaddedfat']","Oatmeal, instant, plain, made with non-dairy milk, no added fat",3.18,2.39,15.7,92.0
"['instant', 'plain', 'madewithnon-dairymilk', 'fatadded']","Oatmeal, instant, plain, made with non-dairy milk, fat added",3.09,4.77,15.2,111
"['instant', 'mapleflavored', 'noaddedfat']","Oatmeal, instant, maple flavored, no added fat",2.44,1.25,20.2,102
"['instant', 'mapleflavored', 'fatadded']","Oatmeal, instant, maple flavored, fat added",2.38,3.45,19.6,119
"['instant', 'fruitflavored', 'noaddedfat']","Oatmeal, instant, fruit flavored, no added fat",2.34,1.19,20.1,100
"['instant', 'fruitflavored', 'fatadded']","Oatmeal, instant, fruit flavored, fat added",2.29,3.4,19.5,117
['reducedsugar'],"Oatmeal, reduced sugar",2.35,1.28,16.6,85.0
['multigrain'],"Oatmeal, multigrain",2.12,0.46,12.2,56.0
['NSastofat'],"Quinoa, NS as to fat",4.18,4.75,20.2,140
['noaddedfat'],"Quinoa, no added fat",4.38,1.91,21.2,120
['fatadded'],"Quinoa, fat added",4.18,4.75,20.2,140
"['cooked', 'NFS']","Rice, cooked, NFS",2.67,0.28,28.0,129
"['white', 'cooked', 'NSastofat']","Rice, white, cooked, NS as to fat",2.67,0.28,28.0,129
"['white', 'cooked', 'madewithoil']","Rice, white, cooked, made with oil",2.6,3.12,27.2,151
"['white', 'cooked', 'madewithbutter']","Rice, white, cooked, made with butter",2.62,2.61,27.2,147
"['white', 'cooked', 'madewithmargarine']","Rice, white, cooked, made with margarine",2.6,2.12,27.2,142
"['white', 'cooked', 'fatadded', 'NSastofattype']","Rice, white, cooked, fat added, NS as to fat type",2.6,2.77,27.2,148
"['white', 'cooked', 'noaddedfat']","Rice, white, cooked, no added fat",2.67,0.28,28.0,129
"['brown', 'cooked', 'NSastofat']","Rice, brown, cooked, NS as to fat",2.73,0.96,25.4,122
"['brown', 'cooked', 'fatadded', 'madewithoil']","Rice, brown, cooked, fat added, made with oil",2.66,3.27,24.9,140
"['brown', 'cooked', 'madewithbutter']","Rice, brown, cooked, made with butter",2.68,2.85,24.9,137
"['brown', 'cooked', 'madewithmargarine']","Rice, brown, cooked, made with margarine",2.67,2.46,24.9,133
"['brown', 'cooked', 'fatadded', 'NSastofattype']","Rice, brown, cooked, fat added, NS as to fat type",2.67,2.98,24.9,138
"['brown', 'cooked', 'noaddedfat']","Rice, brown, cooked, no added fat",2.73,0.96,25.4,122
[],Cream of rice,1.17,0.09,15.3,69.0
"['cooked', 'withmilk']","Rice, cooked, with milk",5.13,2.31,25.0,144
"['sweet', 'cookedwithhoney']","Rice, sweet, cooked with honey",2.52,0.26,31.1,139
[],Congee,0.68,0.07,7.16,33.0
"['cooked', 'NSastofat']","Yellow rice, cooked, NS as to fat",1.8,0.45,19.1,88.0
"['cooked', 'noaddedfat']","Yellow rice, cooked, no added fat",1.8,0.45,19.1,88.0
"['cooked', 'fatadded']","Yellow rice, cooked, fat added",1.76,2.43,18.7,103
"['white', 'cooked', 'glutinous']","Rice, white, cooked, glutinous",2.01,0.19,21.0,96.0
"['wild', '100%', 'cooked', 'NSastofat']","Rice, wild, 100%, cooked, NS as to fat",3.86,3.08,20.6,122
"['wild', '100%', 'cooked', 'noaddedfat']","Rice, wild, 100%, cooked, no added fat",3.97,0.34,21.2,100
"['wild', '100%', 'cooked', 'fatadded']","Rice, wild, 100%, cooked, fat added",3.86,3.08,20.6,122
"['whiteandwild', 'cooked', 'noaddedfat']","Rice, white and wild, cooked, no added fat",1.82,0.16,17.2,79.0
"['brownandwild', 'cooked', 'noaddedfat']","Rice, brown and wild, cooked, no added fat",2.89,0.88,24.9,120
"['whiteandwild', 'cooked', 'fatadded']","Rice, white and wild, cooked, fat added",2.17,2.14,20.6,112
"['whiteandwild', 'cooked', 'NSastofat']","Rice, white and wild, cooked, NS as to fat",2.17,2.14,20.6,112
"['brownandwild', 'cooked', 'fatadded']","Rice, brown and wild, cooked, fat added",2.82,3.24,24.3,138
"['brownandwild', 'cooked', 'NSastofat']","Rice, brown and wild, cooked, NS as to fat",2.26,2.69,19.8,112
"['white', 'cookedwithfat', 'PuertoRicanstyle']","Rice, white, cooked with fat, Puerto Rican style",2.84,6.3,31.9,200
['NFS'],"Cream of wheat, NFS",1.44,1.8,10.4,65.0
"['regularorquick', 'madewithwater', 'noaddedfat']","Cream of wheat, regular or quick, made with water, no added fat",1.45,0.21,10.6,51.0
"['regularorquick', 'madewithwater', 'fatadded']","Cream of wheat, regular or quick, made with water, fat added",1.44,1.8,10.4,65.0
"['instant', 'madewithwater', 'noaddedfat']","Cream of wheat, instant, made with water, no added fat",1.52,0.21,14.4,67.0
"['instant', 'madewithwater', 'fatadded']","Cream of wheat, instant, made with water, fat added",1.5,2.09,14.1,82.0
['noaddedfat'],"Bulgur, no added fat",3.06,0.24,18.5,83.0
['fatadded'],"Bulgur, fat added",2.87,4.17,17.3,112
['NSastofat'],"Bulgur, NS as to fat",3.06,0.24,18.5,83.0
"['plain', 'cooked']","Couscous, plain, cooked",3.77,0.16,23.1,111
['cooked'],"Whole wheat cereal, cooked",1.55,0.28,10.4,47.0
"['chocolateflavored', 'cooked']","Wheat cereal, chocolate flavored, cooked",1.79,0.47,11.0,49.0
['cooked'],"Oat bran cereal, cooked",3.21,1.3,12.3,46.0
"['ready-to-eat', 'NFS']","Cereal, ready-to-eat, NFS",7.74,4.01,77.7,379
"[""O's"", 'flavored']","Cereal, O's, flavored",8.62,5.37,76.0,385
['crunch'],"Cereal, crunch",4.31,5.53,82.1,398
"[""O's"", 'plain']","Cereal, O's, plain",12.4,6.17,67.9,374
['chocolatepuffs'],"Cereal, chocolate puffs",5.39,4.98,81.0,388
['cinnamontoast'],"Cereal, cinnamon toast",5.88,9.92,75.2,414
['chocolatecrispy'],"Cereal, chocolate crispy",5.35,4.24,81.8,380
['cornsquares'],"Cereal, corn squares",7.88,2.61,77.1,369
"['cornflakes', 'plain']","Cereal, corn flakes, plain",6.4,1.6,79.5,365
['cornpuffs'],"Cereal, corn puffs",7.74,2.57,77.8,371
"['ricecrispy', 'plain']","Cereal, rice crispy, plain",6.96,1.21,79.8,358
"['branflakes', 'plain']","Cereal, bran flakes, plain",9.65,2.42,75.0,361
"['shreddedwheat', 'flavored']","Cereal, shredded wheat, flavored",9.52,1.41,78.9,367
"['ricecrispy', 'flavored']","Cereal, rice crispy, flavored",4.95,0.92,86.0,372
['fruitrings'],"Cereal, fruit rings",5.14,3.23,82.2,383
['fruitcrispy'],"Cereal, fruit crispy",4.28,3.89,82.9,384
['granola'],"Cereal, granola",9.82,13.0,67.4,420
['oatbunches'],"Cereal, oat bunches",7.43,6.06,76.2,392
"['cornsquares', 'flavored']","Cereal, corn squares, flavored",5.36,3.24,81.4,381
"[""O's"", 'honeynut']","Cereal, O's, honey nut",8.62,5.37,76.0,385
['multigrain'],"Cereal, multigrain",11.6,3.59,74.0,373
['oatsquares'],"Cereal, oat squares",10.4,5.21,73.1,378
['frostedoatswithmarshmallows'],"Cereal, frosted oats with marshmallows",8.17,4.07,76.6,372
"[""O's"", 'multigrain']","Cereal, O's, multigrain",8.54,3.76,76.2,373
"['branflakes', 'flavored']","Cereal, bran flakes, flavored",8.13,1.18,78.7,353
['ricesquares'],"Cereal, rice squares",7.01,2.19,77.4,357
"[""K's"", 'plain']","Cereal, K's, plain",19.0,1.58,68.0,356
"[""K's"", 'flavored']","Cereal, K's, flavored",7.33,1.15,80.9,363
['flavoredpuffs'],"Cereal, flavored puffs",5.66,2.16,83.8,380
"['cornflakes', 'flavored']","Cereal, corn flakes, flavored",4.77,1.27,84.7,375
"[""O's"", 'NFS']","Cereal, O's, NFS",10.5,5.77,72.0,379
['wheatsquares'],"Cereal, wheat squares",10.5,1.52,75.0,356
[],Wheat germ,29.1,10.7,49.6,382
['plainpuffs'],"Cereal, plain puffs",9.5,1.66,77.2,357
"['shreddedwheat', 'plain']","Cereal, shredded wheat, plain",11.9,1.68,73.8,358
['wheatflakes'],"Cereal, wheat flakes",10.1,1.47,76.3,359
"['other', 'NFS']","Cereal, other, NFS",6.88,4.44,78.5,381
"['other', 'plain']","Cereal, other, plain",9.41,3.89,73.7,370
"['other', 'fruitflavored']","Cereal, other, fruit flavored",4.71,3.56,82.6,383
"['other', 'chocolate']","Cereal, other, chocolate",5.37,4.61,81.4,384
"['other', 'peanutbutter']","Cereal, other, peanut butter",7.34,11.1,73.0,422
"['other', 'honey']","Cereal, other, honey",8.02,5.71,76.1,388
['reducedsugar'],"Cereal, reduced sugar",8.42,3.67,76.9,376
[],Wheat bran,15.6,4.25,64.5,216
['raw'],"Oats, raw",13.2,6.52,67.7,379
"['oatbran', 'ready-to-eat']","Cereal, oat bran, ready-to-eat",10.4,10.2,68.3,403
"['barley', 'dry']","Baby Toddler cereal, barley, dry",13.2,6.6,69.4,376
"['oatmeal', 'dry']","Baby Toddler cereal, oatmeal, dry",11.0,6.36,73.5,394
"['rice', 'dry']","Baby Toddler cereal, rice, dry",6.65,2.19,83.1,390
"['ricewithfruit', 'dry']","Baby Toddler cereal, rice with fruit, dry",6.51,2.17,83.4,388
"['multigrainwithfruit', 'dry']","Baby Toddler cereal, multigrain with fruit, dry",6.53,6.43,80.5,404
"['multigrain', 'dry']","Baby Toddler cereal, multigrain, dry",6.67,6.67,80.1,407
"['oatmealwithfruit', 'dry']","Baby Toddler cereal, oatmeal with fruit, dry",10.6,6.13,74.2,392
['NFS'],"Baby Toddler cereal, NFS",1.92,0.96,18.4,89.0
